id,__twarcretrieved_at,,text_for_analysis
18,5/3/2024,Democrat,a summer of promises kept n ncapping skyrocketing drug prices for seniors while making companies like amazon actually pay taxes n nenabling america to lead the world to clean energy n nbringing microchip manufacturing back home n nthe first bill in decades to prevent gun violence
19,5/3/2024,Republican,a woman i met at a republican women s meeting in mesa that i spoke at tells how i jerone davison for congress converted a whole black barbershop to vote republican jeroneforcongress raideralumni raidernation theherschelwalk asualumni arrestfauci
20,5/3/2024,Democrat,aapiheritagemonth begins today this month we honor the cultures and contributions of the aapi community we as americans must work to stopaapihate
21,5/3/2024,Republican,aaronparnas cawthornfornc chuckedwards4nc never will be congressman aaron parnas
22,5/3/2024,Republican,abc6 thank goodness startchangeri lanciaforri
23,5/3/2024,Republican,achieve energy independence to lower skyrocketing fuel costs n hold criminals accountable and protect our neighborhoods n end all covid mandates
24,5/3/2024,Democrat,ahunt4congress the oligarchs and the shills for the monopoly firms are gathering their resources to resist strong honest challengers in 2022 n nvoters can cast ballots against corrupt-money in 2022 n josephgeev drbillh mikehersh sunrisemvmt alexandrasiera
25,5/3/2024,Democrat,alexpadilla4ca jessep4congress yes but it helps the oligarchy amp the elite rip us off n n- a true insurrection would revolt against these filibusters amp organize to vote everyone of them out of office
26,5/3/2024,Democrat,always repping the mighty phoenixmercury and keeping bg in my thoughts wearebg
27,5/3/2024,Democrat,amarshergillca ninaturner brianmclain15 jkwhitmer3 cherylharris194 pioneeremily mitchellvice normansolomon alanminsky ray8fisher roots_action pdacalifornia congratulations amar n nthank you so much for stepping into the 2022 arena n nit would be such a shame to just let the corrupt-money win the 2022 elections igortregub
28,5/3/2024,Republican,american families no matter the color of their skin should never have to choose between putting food on the table or gas in the tank
29,5/3/2024,Republican,americans are losing money at a record rate and this fool wants americans to spring for a ev n nout-of-touch democrats
30,5/3/2024,Democrat,and i promise you i will always always fight to protect your right to choose abortion is health care and the government has no place in the doctor s office you deserve the dignity and freedom to make your own health care decisions n
31,5/3/2024,Democrat,and this is why our government gets called inefficient- it s not the fec that handles disclosure it s the house ethics committee and their site is a jumbled hot mess now waiting for assistance
32,5/3/2024,Republican,and yet another example of big tech having too much power n npaypal
33,5/3/2024,Democrat,anncali thanks
34,5/3/2024,Democrat,another throwbackthursday all the way back to sunday before the nov 20 election amazing low ridin for biden car parade to the polls brought together so many even secretary castro to turn az blue n nhelp me turn az01 blue go to amp spread the word
35,5/3/2024,Democrat,anyone who knows philly sports fans knew the grease wouldn t work
36,5/3/2024,Republican,aoc this one came out of left field pivot pivot and pivot
37,5/3/2024,Democrat,apparently i have to speak with my mom about not writing trump with her lipstick on stop signs while canvassing for me
38,5/3/2024,Democrat,are we gullible n n- or are we smart enough to vote for the medicareforall candidate n n ca03
39,5/3/2024,Republican,are you listening to yourself lemme reword what you should be saying n n scotus is letting private citizens in texas sue to stop murdering babies n nif tx can ban murdering babies and save innocent lives ca can punish criminals and save lives
40,5/3/2024,Democrat,arizonascge
41,5/3/2024,Democrat,as a lifelong wisconsinite i am appalled by the actions of my opponent derrick van orden n nnot only did he attack our capitol on january 6th he also brags about sexually harassing women and is on probation for carrying a firearm at an airport n ni will defeat him this year
42,5/3/2024,Democrat,as a prosecutor i helped to found care house and then worked with their forensic teams in my courtroom as a judge click to see what a child abuse victim goes through as ch works w officials to apprehend amp charge the sexual offender who preyed on them
43,5/3/2024,Democrat,as a public official i will be dedicated to doing more to solve the gun violence epidemic in our country n nwe must do more we have to do more we will do more
44,5/3/2024,Republican,as a single mother who made the easy choice for life in a difficult situation my pro-life belief is personal n nit s for that reason that in 2019 when i heard ralph northam s horrifying and callous comments advocating for infanticide i made the decision to run for congress 1 3
45,5/3/2024,Democrat,as arizona s next member of congress i will work to lower costs for americans protect our human rights and fight to build an america that works for everyone
46,5/3/2024,Republican,as mayor of orland park i worked with the police department to keep our streets safe and our criminals behind bars in congress i ll support legislation that addresses crime nationwide
47,5/3/2024,Republican,as senator i ll work to pass legislation to guard our children against a covid vax mandate in virginia n nand i can get it done
48,5/3/2024,Republican,as the hateful leftist lynch mob enters its umpteenth month breathlessly pontificating january 6 let s remind them of what these same democrat officials enabled funded and bailed out for the better part of a year in the summer of love in 2020 spare me your sanctimony
49,5/3/2024,Democrat,as the only democratic woman amp mom running for congress in az i m proud to be running with the support of these amazing orgs thank you to emilyslist nationalnowpac electdemwomen votemamaus hertime2020 and rep kirkpatrick s pac moms_fedup for your support az06
50,5/3/2024,Democrat,ashley hinson just voted against n n lowering health insurance premiums and drug costs for seniors n increasing american energy independence n supporting iowa s biofuels industry n addressing the climate crisis n reducing the national deficit n nit s time to vote her out ia02
51,5/3/2024,Democrat,assemblyman peterson and i disagree on most things but he deserves credit for telling voters exactly what he believes and on this he s right it s amazing that even on russia ukraine tom kean won t take a stand who or what is he scared of
52,5/3/2024,Republican,at the time of the law enforcement award i was the chief criminal investigator as well as chief administrative officer which means i was part of a leadership team in bexar county that managed a 32 million budget so i understand the value of a dollar 2 4
53,5/3/2024,Republican,attending today s special noon service with my wife maryann to pray and show support for the people of ukraine rigopchairwoman rhodeislandgop ozsultan startchangeri lancia4congress
54,5/3/2024,Republican,aunt_tifa27 why do you keep sending me pictures of democrats
55,5/3/2024,Democrat,authorkimberley my name is delina disanto i m a nurse a small business owner and a mom i m running for congress because repgosar is no patriot he is a traitor and a cancer to our democracy arizona families need and deserve real leadership let s win
56,5/3/2024,Democrat,banning assault weapons is public health
57,5/3/2024,Democrat,barriers like don t ask don t tell discouraged me from joining the military despite my desire to serve my country after 9 11 so it s especially heartening to see this kind of support today pride
58,5/3/2024,Republican,based_masters desantisfan2024 don t worry just wait n n
59,5/3/2024,Democrat,be a man sentedcruz don t grovel don t talk about those who didn t go in the capitol talk about all the domestic terrorists who went in and killed maimed destroyed and defecated in the house you work ni m disgusted by all you lickspittles who are afraid of the former loser
60,5/3/2024,Democrat,beautiful fall saturday at the easton farmers market this morning i loved speaking with local vendors small business owners and members of the community and i even caught part of the hot pepper eating competition
61,5/3/2024,Democrat,benfeldman2000 which organization will put boots on the ground in wi
62,5/3/2024,Republican,best_of_luck_25 read the damn thread
63,5/3/2024,Democrat,between groceries bills insurance and more i know families balance a lot to meet their monthly budget i m working hard to make that easier
64,5/3/2024,Republican,biden inflation n ntoday s data
65,5/3/2024,Republican,biden is going to give us 6 gas by august disaster
66,5/3/2024,Republican,biden s first year n-highest crime rate in decades n-surrendering afghanistan n-arming taliban n-crippling debt amp inflation n-cdc amp fda discredited n-doj weaponized n-border crisis n-supply chain crisis n-energy dependence n nif your goal was to destroy america you d run this playbook
67,5/3/2024,Republican,biden s unrealized gains tax is outright absurd n nhow can you propose to tax money i do not even have yet n ndemocrats openly supporting theft isn t new look at san francisco but this is an entirely new level of crazy
68,5/3/2024,Republican,big kill-bot factory vibes
69,5/3/2024,Democrat,big loss to az thoughts are with her family
70,5/3/2024,Democrat,big news n nsenator alexpadilla4ca has endorsed our campaign to flip ca40 and defeat rep young kim n ncheck out all of our endorsements and join our campaign at
71,5/2/2024,Republican,big tech has shown its bias toward republicans by repeatedly suppressing conservative voices our democracy relies on the ability of citizens to speak freely and big tech puts that ability at risk in office i ll work to end big tech censorship and protect our freedom of speech
72,5/3/2024,Republican,both seancasten and voted to defund nthe police now they don t know nhow to explain to il-6 voters why ncrime is on the rise i ll tell you nwhy n1
73,5/2/2024,Democrat,busy primary day in mi07 with canvass launches across the new district haven t made it out to the polls yet don t worry you have until 8pm to make your voice heard
74,5/3/2024,Republican,by refusing to join in asking gavinnewsom to end his disastrous soft-on-crime early release program adamgrayca once shows he lacks the courage to put the needs of his constituents over the wants of his party n nwe won t settle for gray he ll just vote nancy s way n n ca13
75,5/3/2024,Republican,califcitizen i m not saying they ate you didn t read both tweets n ni said the left is lying
76,5/3/2024,Republican,california is mandating every child as young as 5 get vaccinated - whether parents agree or not n nas a father of 7 i won t stand by while the state takes away parents control over our kids n ncheck out my op-ed in dcexaminer - help me fight back ca49 n
77,5/3/2024,Democrat,can 15 more people donate in the next hour
78,5/3/2024,Democrat,can i get 683 people to make a donation to this tweet donate a few bucks now n n
79,5/3/2024,Republican,candidates forum in va07 let s go election2022
80,5/3/2024,Democrat,canvassing around az-06 until tuesday noro valley grande amp green valley vista
81,5/3/2024,Democrat,caring for each other working hard and fighting for our rights these are just a few american values we all share in tx15 and i will continue to fight for our community every single day si se puede
82,5/3/2024,Republican,carneymichael5 greg_price11 thank you
83,5/3/2024,Democrat,cawthorn ditched the 14th district because he thought it would be easier to win but he didn t expect me to come after him i m here to win and kick the insurrectionist out of congress let s go n n
84,5/3/2024,Democrat,cbs_herridge repmiketurner miketurneroh cbsnews if you think mike turner has no business being re-elected i don t have 19 billionaires from out of state funding me
85,5/3/2024,Republican,central new york is home to hard-working farmers who put food on our tables and help drive our local and state economy we can t afford to sit back and allow kathy hochul s farm laborers wage board s overtime decision devastate our communities
86,5/2/2024,Republican,certain warhawks in my own party are tempting me to violate reagan s 11th commandment we must dispense with the foolish rhetoric and approach this tragic situation in the ukraine with wisdom and very clear strategic objectives before being embroiled in another war copolitics
87,5/3/2024,Republican,charlescalenda closewithjenn the bill is scheduled for a committee vote tomorrow unfortunately i expect it to pass onto the senate floor with a chamber vote on tuesday
88,5/3/2024,Republican,charliecrist why aren t you talking about covid numbers in democrat run states
89,5/3/2024,Democrat,chasecross98 douggillin appstate_fb uncfootball thank you chase
90,5/2/2024,Republican,cheribustos and the radical democrats just voted lockstep with pelosi for their massive elections power grab n nthey want federal bureaucrats not the people of illinois to dictate how we run our elections n nthey re desperate to stay in power they know change is coming
91,5/3/2024,Democrat,cheyannedakota1 oh i see ha ha ha n nin terms of casting ballots for the 2022 midterms i think they are focusing on other things
92,5/3/2024,Republican,chicagosmayor imagine how much greater illinois would be if democrats put the same effort into shutting down crime as they put into shutting down small businesses
93,5/3/2024,Republican,china has now outlawed any mention of religion online unless you possess an internet religious information service license n nreligious freedom was one of the first tenants of america and why it was founded in the first place n nthis is who your government is in bed with
94,5/3/2024,Republican,china s military is concerned with world domination while ours is focused on what are the preferred pronouns of active service members n nforgive us if we are concerned
95,5/3/2024,Republican,chip in today to takebackthehouse n
96,5/3/2024,Democrat,chrislhayes this has more to do with the fact that our schools are already underfunded and have by and large not successfully implemented necessary safety measures on top of that our teachers are underpaid exploited and overwhelmed
97,5/3/2024,Democrat,christysmithca solution medicareforall codifies women s reproductive freedom n- - and includes contraceptives - with full expert physicians analysis to the best rex for each person n nwe persuaded 121 co-sponsors in 2021 nlet s elect 80 more in 2022 n nlet s pass the bill in 2023 berniesanders
98,5/3/2024,Republican,citizenfreepres or how about we start bussing and flying them back to mexico
99,5/3/2024,Republican,citizens aren t worried about the vaccination status of a law enforcement officer when they are facing the clear and present danger of physical violence from criminals - especially at a time when crime rates are reaching record highs all over california
100,5/3/2024,Republican,click4mrh _averageamerica drkimschrier mattlarkin4wa wagop so true never have they know that losing brings them 1 more we were so close but next time and 2 no responsibility to actually lead and thus plausible deniability
101,5/3/2024,Democrat,clivesmom susana_tupper drkermitjones their is no denigration of dr jones nhis campaign supports fossil fuel subsidies it s a policy choice n nhelp to get them to drop support for ff subsidies and boost his campaign
102,5/3/2024,Democrat,codebluebbq tedlieu cause trump can control the voters to do crazy stuff like not turnout for the georgia runoff elections amp flip two senate seats from red to blue
103,5/3/2024,Republican,columbiabugle the fbi is the real threat to the republic even more worrisome perhaps is the question of why every single gop leader isn t screaming and yelling about this clear act of political persecution
104,5/3/2024,Democrat,companies shouldn t be rewarded for outsourcing jobs cc schellerforpa n nthat s why i m a co-sponsor of the no tax breaks for outsourcing act which will eliminate tax incentives to move manufacturing overseas and block corporate efforts to dodge taxes
105,5/2/2024,Democrat,congrats to vanessabryant and other impacted families for bringing justice for the disgusting actions taken by the la sheriffs s dept the public demands their pound of flesh by firing the involved deputies amp having to pay the 31m award justice
106,5/3/2024,Democrat,congratulations to witek and the iowafloodcenter on this honor and thanks for the work you do to predict and monitor floods in our state
107,5/3/2024,Republican,congratulations winsomesears on your historic victory we are so proud of you and will not let them divide us
108,5/3/2024,Democrat,congress must meet the moment and pass the careact2022 thank you for your unwavering commitment to ensuring all working children are equally protected under the law
109,5/3/2024,Republican,connie conway is a proven leader with a track record of delivering results for her constituents while serving as the gop assembly leader in sacramento connie fearlessly took on the radical democrats
110,5/3/2024,Republican,cook county states attorney has dropped all charges against of felony defendants her prioritization of criminals over victims has put our communities at risk
111,5/2/2024,Republican,copolitics
112,5/3/2024,Democrat,craigdmauger wasn t the snyder business tax cuts supposed to attract businesses and talent now it s tax breaks and billions in econ dev money can retirees get their money back please
113,5/3/2024,Republican,criticasinmiedo hamletgarcia17 gop rhodeislandgop pagop floridagop thank you so much
114,5/3/2024,Republican,david giglio cuenta con el apoyo del partido republicano de los condados de fresno madera merced y san joaqu n david es el nico candidato que luchar por las familias trabajadoras del valle y pondr fin a nuestra actual crisis del costo de vida ca13
115,5/2/2024,Republican,davidkeuss thank you
116,5/3/2024,Republican,december 7th 1941 is a day this country will never forget on pearlharborremembranceday we remember those who lost their lives in the pearl harbor attack
117,5/3/2024,Democrat,decisions like this will only further corrode public trust make it harder for younger candidates and working parents to run for office and give those with money even more power so let s unite behind candidates who actually want to fix our broken campaign finance system
118,5/3/2024,Democrat,deecee49877353 thank you for the support it happens with the name all the time
119,5/3/2024,Democrat,deezsmommy thank you
120,5/3/2024,Democrat,delaying primary election and ordering lower court to resolve gerrymandering lawsuits in speed just over a month is right call members of congress leading jan 6th investigation should take their cues for urgency from the nc supreme court n ncpol nc06
121,5/3/2024,Republican,democrats are the party of crime n nmy opponents for ny-3 are defund the police radicals n ntime to give the democrats and their deadly policies the boot n nat least 6 stabbed in nyc subway system after mayor announces new safety plan via nbcnews
122,5/3/2024,Republican,democrats voted for it elections have consequences n nthey have hardcore liberal lawmakers a leftist da and the police union has bought democrat support including governor newsom n nthese are the people who implement and enforce the policies you see at play
123,5/3/2024,Democrat,derrick van orden hopes that by hiding from the press you ll forget the following n n he participated in the january 6th insurrection n he bragged about sexually harassing two women n he s on probation for taking a loaded gun into an airport n nrt to make sure wi03 remembers
124,5/3/2024,Democrat,derrickvanorden would have voted against creating good-paying jobs right here in wisconsin as your representative i ll always put wisconsin first n ndonate now to ensure wisconsin s priorities are always put ahead of partisan games n n
125,5/3/2024,Republican,despite what biden says americans are worried about being able to afford to put food on the table and fill up at the gas station prices are surging and ca families are struggling i introduced the inflation prevention act in jan to help n
126,5/3/2024,Republican,destroy the economy in the name of equity take your opponents ability to take up arms paint them as enemies of the state all while pretending to care about american values yep that s the woke left for you housedemocrats thedemocrats
127,5/2/2024,Democrat,disgraceful that a fellow virginian and naval academy graduate would make such comparisons n nevery single elected official should condemn this
128,5/3/2024,Democrat,djebejejsbsh it s hard if you don t look at how it is working dramatically better in every developed country on earth the problem with our medicare program is that we guarantee drug companies that we will cover any costs that come without any negotiation do they can raise prices 10 000x
129,5/3/2024,Republican,do dems think it s just coincidence that everything started going downhill as soon as joebiden became president
130,5/3/2024,Democrat,do you have legislation to fix these problems n nyou are an incumbent - you have the power to flip leadership on many issues
131,5/3/2024,Democrat,do you want kevin mccarthy as the next speaker nwant paul gosar to have a lead role on cmte s that affect us ndo you want pro-insurrectionist amp criminal repdavid schweikert to win nif not then please help me flip az01 to defeat schweikert to help stop this traitorous behavior
132,5/3/2024,Democrat,donald trump is coming to iowa today to boost far-right candidates across our state n nrepublicans are energized and i need your help to fight back n ncan you chip in 5 10 or whatever you can to our campaign n
133,5/3/2024,Republican,donald trump won
134,5/3/2024,Democrat,donate to the campaign
135,5/3/2024,Democrat,donnayoungdc facethenation repmiketurner thedemocrats harrisonjaime if you don t like what you hear from rep mike turner i m his opponent in november
136,5/3/2024,Republican,drlillwallace ryanafournier disclosetv lindseygrahamsc anyone who thinks a direct nato attack on russia would have stopped the conflict rather than escalate it can t be saved
137,5/3/2024,Democrat,due to potus and the us_fda outstanding efforts children ages 5-11 can now receive a pfizer booster shot at least five months after receiving the primary two-dose series n nif your child ages 5-11 needs a booster please visit for more info
138,5/3/2024,Republican,during his time in the white house president biden has governed from the far-left if elected i will work to balance out some of his far-left progressive policies with mainstream solutions that will help everyone in oregon n
139,5/3/2024,Democrat,during the past two years every one of my gop opponents supported ron desantis and his draconian policies n nnow they are running for congress to bring florida s policies to dc i will stop them
140,5/3/2024,Democrat,dxena2 i believe in a woman s right to choice
141,5/3/2024,Republican,dyoffee joebiden i m more than good with some ass kissing if it keeps us from nuclear annihilation
142,5/3/2024,Democrat,each time a mass shooting occurs in america it steals our peace by replacing freedom with fear n nwe need the senate to abolish the filibuster so we can pass commonsense gun safety measures to keep our communities safe n n
143,5/3/2024,Republican,early voting for the ca primary starts in most counties today make sure to vote shawn collins for governor for new leadership in our state n wecanwewill n shawncollinsforca
144,5/3/2024,Republican,eddy county clerk s office for artesia voters 325 s main street carlsbad nm 88220
145,5/3/2024,Republican,election day is today tues march 1st vote willievasquezng on the republican ballot n n n vote4willie cd28 electionday winwithwillie tx28 republican conservative willieforcongresscd28 texas district28 votered williefortexas d28 redwave2022
146,5/3/2024,Democrat,electleft illinois primary date june 28 2022
147,5/3/2024,Democrat,elizabethdella7 aaronparnas hey howie34 njosh here i m the combat veteran who chased cawthorn into nc-13 if you d like to help i ll happily get you in touch with my campaign manager
148,5/3/2024,Republican,ellaughinglobo pattymurray smileyforwa pattymurray you don t put gas in your car nor drive yourself i will work tirelessly to reopen leases on the alaskan coastal plain cook inlet basin and gulf of mexico we have plenty of energy return us to 2 gas and energy independence n n nationalsecurity n americafirst
149,5/3/2024,Republican,elon musk is calling for more us oil production n nwhat more do you need to know
150,5/3/2024,Republican,elonmusk please release the twitter fascism code n nand release emails from the us government to twitter executives n nyou can bring america back together n n twitterfascism elonmusk elonmusktwitter
151,5/3/2024,Republican,empresslivvy sampathpanini gavinnewsom nope the governor race is over for me i do want my children to receive a quality education and have opportunities though
152,5/3/2024,Democrat,endorsement alert n ni am so excited to announce that keithellison has endorsed our campaign to flip florida s 15th congressional district we have only four days left until the primary so make sure to get out and vote
153,5/3/2024,Democrat,engaged voters in jasper county--stopped off in newton for a great conversation onward
154,5/3/2024,Republican,enjoyed speaking to voters in woodbridge this evening folks in pwc are ready for change va07
155,5/3/2024,Democrat,ericg1247 but we can t have wind amp solar until you eliminate all the fines fees amp restrictions imposed by the corrupt monopoly utility firms n nwill you champion the cause
156,5/3/2024,Republican,esg is similar to chinasocialcreditsystem to rate businesses based on pc it is evil ccp has lots of admirers in the west because it is effective to control their citizens amp companies elonmusk tesla was affected sec is proposing it here therealnhsteve n lily4congress
157,5/3/2024,Republican,especially our veterans they put their lives on the line to fight for our freedom they should not have to come home to another fight for basic benefits or assistance from the government i will always support and advocate for veterans rights 2 3
158,5/3/2024,Democrat,even in the case of rape neven in the case of incest neven if a woman s life is in danger n wants to ban access to abortion with no exceptions n nwatch our latest ad
159,5/3/2024,Democrat,every country has mental illness nevery country has video games nevery country has bullies nevery country has schools with multiple doors n nevery country does not have more than one gun for every single member of its population nthat s just the n nthe guns are the problem
160,5/3/2024,Democrat,every senator and congress member in mississippi should work to recover the stolen funds from brett farve and gov bryant
161,5/3/2024,Democrat,everytown lucymcbath marie4congress momsdemand love to see candidates in red districts get your endorsement n nwe have common-ground all voters want less mass shootings next year
162,5/3/2024,Republican,excited about the incredible support we ve received in baker and mitchell counties and looking forward to being in pelham tomorrow at pinecrest country club at 6 00pm if you re in the area we would love to have you come out and join us
163,5/2/2024,Republican,families are struggling to pay for gas and groceries it s costing them an extra 6k per year yet eric sorensen cheered the pelosi-biden plan that experts agree will make inflation worse his solutions are not working for the il17 we cannot afford more of the same
164,5/3/2024,Democrat,families are struggling to pay their property taxes and are penalized for increasing the value of their homes by having to pay even higher taxes n nwe need to revise the method for determining the amounts of potential surcharges to be levied against policyholders
165,5/3/2024,Republican,feb 2022 voices of freedom washington county chapter meeting via jenkinscongress
166,5/3/2024,Republican,fighter she won her primary last cycle with 77 and overperformed everyone in the general election she has been fighting for audits in north carolina and is a true america first conservative she has my backing 100 i encourage all patriots to get behind sandy smith 2 3
167,5/3/2024,Democrat,fighting for ohio s future means n n creating trade and industrial policies that work for ohio workers n dominating in clean energy manufacturing n making sure workers have fair wages good benefits safe conditions and a seat at the table
168,5/3/2024,Republican,fina has now restricted biological males identifying as females from competing in elite swimming competitions n ndoes this mean that all the women unfairly relegated to 2nd 3rd and 4th place will now be bumped up or will an asterisk be placed next to every fraudulent winner
169,5/3/2024,Democrat,first in-person mcdp_loc meeting in the books great turnout amazing loc meal tradition and compelling speakers also got to hang with azld2dems at their monthly meeting and hear from judyforaz as well as our two candidates for secretary of state upandadam2022
170,5/3/2024,Democrat,first tv ad nwhether it s fighting for gun reform voting rights or protecting a woman s right to choose i ve stood up to the bullies and extremists at the state capitol and i ll do the same thing in washington dc n nwatch here and help us keep it up
171,5/3/2024,Republican,flag day event in keene yesterday it was great atmosphere full of patriotic americans from all walks of life i enjoyed meeting people and chatting with them nhfrw n n lily4congress flagday
172,5/3/2024,Republican,flaudhuman forcing people to wear a mask or get a vaccine to enter a restaurant and eat a meal is unethical and immoral
173,5/3/2024,Democrat,florida s new don t say gay law is beyond reprehensible and my opponent jackie toledo supported it n ni promise as the next representative of florida s 15th district i ll always defend lgbtq youth and push back against these cruel laws
174,5/3/2024,Republican,food fuel and fertilizer prices are crushing families across sw and middle georgia and it s a direct result of sanford bishop voting 100 of the time with biden and pelosi for wasteful spending we need to cut costs rotate and the crop and start empowering families in ga-02
175,5/3/2024,Republican,for context this is the status of the fighting in ukrainian territory that putin annexed
176,5/3/2024,Republican,foxnews progressives throwing shit at the wall again
177,5/3/2024,Republican,foxnews spending more money to fight inflation goes against basic economics newsom is only doing this to help himself amp his party at the ballot box meanwhile he is gleefully setting up californians for more long-term pain
178,5/3/2024,Democrat,frau_liesel frau_liesel i am his opponent i chased him down into the 13th to hold him accountable for misdeeds and to selflessly serve nc-13 with integrity
179,5/3/2024,Democrat,from repmmm s hometown paper many of the major policy announcements reynolds made tuesday rely on funds created not by reynolds her republican legislature or fellow party members of the congress n ninteresting read n n
180,5/3/2024,Republican,garyfins thehill wrong
181,5/3/2024,Republican,gavinnewsom
182,5/3/2024,Republican,gavinnewsom massgovernor stephencurry30 how about we take a bet on whether or not ca the 5th largest economy in the world will have a literacy rate better than 50th out of 50 states before the end of your tenure as governor that bet has higher and far more significant stakes
183,5/2/2024,Republican,gborch1969 thank you
184,5/3/2024,Democrat,gerrymandering has made picking up any seats for democrats very difficult florida s 15th is one of the only pick up opportunities in the entire country i am eddie geller and i m running to flip fl-15 bring competent leadership back to central florida and keep the house blue
185,5/3/2024,Republican,gina raimondo is carrying the water for joe biden when it comes to spiking gas prices like mr biden ms raimondo tries to sell the narrative that it s putin s price hike 1 2
186,5/3/2024,Republican,going to be an exciting event on saturday hope you can stop by rigopchairwoman rhodeislandgop startchangeri lancia4congress
187,5/3/2024,Republican,good morning to everyone except all of you scum in congress who continue to give our to ukraine while we the people suffer immensely it s time for you to go vote americafirst this november
188,5/2/2024,Republican,government spending must be carefully managed with a consistent view towards reducing costs and waste money should be wisely spent to benefit american families first
189,5/3/2024,Democrat,gracias tx15
190,5/3/2024,Democrat,grateful for first responders and the neighbors who showed up with supper tonight for my folks 4 4
191,5/3/2024,Republican,gratitudelist 7 n nhere s a red-meat post i m thankful for steak
192,5/3/2024,Democrat,great connecting with folks in perry this morning
193,5/3/2024,Republican,great service today at temple baptist church in stafford thank you pastor reid for the invitation
194,5/3/2024,Republican,great to be with so many strong conservatives today at the va07 convention in milford we re united to defeat pelosi and spanberger in november
195,5/2/2024,Republican,great to speak with the linn county gop tonight it s no secret that the detrimental policies we have been seeing from the radical left has fired up americans to take action and demand new leadership in the midterm elections or05 orpol
196,5/3/2024,Democrat,gtconway3d i know you know george trump has never wanted people to know what he does illegally since age 25
197,5/3/2024,Democrat,gun violence deaths should not be the leading cause of death for our children n nbut it is n nand it s shameful n nwe owe it to the children who ve already lost their lives to pass commonsense gun reform laws now n n wearorange n gunviolenceawarenessday
198,5/3/2024,Republican,ha ha that s a great joke n n at the expense of the tens of thousands of afghan allies we left behind to rot that whcos wants to forget bc it s the reason why biden s favs unfavs are absolutely dismal but n nlolol great zinger much laughs
199,5/3/2024,Republican,ha i d like to see them try to unseat govrondesantis
200,5/3/2024,Democrat,had a great time at the campaign kickoff for karen perez who is running for school board n ni am so excited to see democrats up and down the ticket win in november
201,5/2/2024,Republican,had a great time talking to constituents at sun city anthem americafirst we need 45 back
202,5/3/2024,Republican,had a great time today at the north haverhill fair please stop by the northern grafton county republican committee booth between now and sunday to grab one of our yard signs nh02 nhpolitics americafirst
203,5/3/2024,Republican,happy 158th birthday to the greatest state in the union homemeansnevada
204,5/3/2024,Democrat,happy 25th anniversary to newdemcoalition i am honored to be a part of their watch list and can t wait to see what they continue to achieve in the next 25 years 25yearsofnewdems
205,5/3/2024,Republican,happy birthday to my friend and 74th governor of virginia glennyoungkin excited to get to work making virginia the best place to live work and raise our families in peace virginia
206,5/3/2024,Democrat,happy friday everyone we are 60 days from election day can i count with your vote this may 24th
