ID,Label
281,0
282,0
283,0
284,0
285,2
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,2
294,0
295,2
296,0
297,2
298,0
299,0
300,0
301,0
302,0
303,2
304,0
305,2
306,0
307,0
308,0
309,0
310,2
311,2
312,0
313,0
314,0
315,0
316,0
317,2
318,0
319,0
320,0
321,2
322,0
323,0
324,0
325,2
326,0
327,0
328,0
329,2
330,0
331,0
332,0
333,0
334,2
335,2
336,0
337,0
338,0
339,0
340,2
341,2
342,0
343,2
344,2
345,0
346,0
347,0
348,2
349,0
350,2
351,0
352,2
353,2
354,0
355,2
356,0
357,0
358,0
359,0
360,0
361,0
362,2
363,0
364,0
365,2
366,0
367,0
368,2
369,0
370,0
371,2
372,0
373,0
374,2
375,2
376,0
377,2
378,2
379,0
380,0
381,0
382,2
383,0
384,0
385,0
386,0
387,2
388,0
389,2
390,2
391,0
392,0
393,0
394,2
395,0
396,0
397,0
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,0
406,2
407,2
408,0
409,2
410,0
411,0
412,0
413,2
414,2
415,0
416,0
417,0
418,2
419,0
420,0
421,0
422,0
423,2
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,2
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,2
445,0
446,0
447,0
448,0
449,0
450,2
451,0
452,2
453,0
454,0
455,2
456,0
457,0
458,0
459,0
460,0
461,0
462,2
463,0
464,2
465,0
466,2
467,2
468,0
469,2
470,0
471,2
472,2
473,0
474,0
475,0
476,2
477,0
478,2
479,2
480,0
481,0
482,0
483,0
484,2
485,0
486,0
487,0
488,0
489,2
490,2
491,2
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,2
501,0
502,2
503,2
504,2
505,2
506,2
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,2
516,2
517,0
518,0
519,0
520,0
521,0
522,2
523,0
524,0
525,0
526,0
527,2
528,0
529,0
530,2
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,2
541,0
542,0
543,2
544,0
545,2
546,2
547,2
548,0
549,2
550,0
551,0
552,0
553,0
554,0
555,2
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,2
564,2
565,0
566,2
567,2
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,2
580,2
581,0
582,2
583,0
584,0
585,2
586,2
587,2
588,0
589,0
590,0
591,0
592,2
593,2
594,2
595,2
596,0
597,0
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,0
614,2
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,2
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,2
639,0
640,0
641,0
642,2
643,2
644,0
645,0
646,0
647,0
648,2
649,0
650,0
651,2
652,0
653,0
654,0
655,0
656,0
657,2
658,0
659,2
660,0
661,0
662,2
663,0
664,2
665,2
666,0
667,0
668,2
669,0
670,0
671,2
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,2
680,2
681,2
682,0
683,2
684,2
685,2
686,0
687,2
688,0
689,0
690,2
691,0
692,2
693,0
694,0
695,2
696,0
697,0
698,2
699,0
700,0
701,0
702,0
703,0
704,0
705,2
706,0
707,2
708,2
709,0
710,2
711,0
712,0
713,0
714,0
715,2
716,0
717,0
718,0
719,2
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,2
730,2
731,2
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,2
740,0
741,2
742,2
743,2
744,0
745,2
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,2
765,0
766,2
767,2
768,2
769,2
770,0
771,0
772,2
773,0
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
