twitter_handle,party,tweet_excerpt,csv-output-round1,response label,csv-output-round2,Correct ANS,full tweet,
@Malinowski,Democrat,capping skyrocketing drug prices for seniors while making companies like amazon actually pay taxes,0,,,,a summer of promises kept n ncapping skyrocketing drug prices for seniors while making companies like amazon actually pay taxes n nenabling america to lead the world to clean energy n nbringing microchip manufacturing back home n nthe first bill in decades to prevent gun violence, 
@Malinowski,Democrat,we must pass legislation now to relieve the shortage of microchips,0,,,,8 we must pass legislation now to relieve the shortage of microchips a huge reason for higher prices of cars and many other goods and my broader bill to bring home from china manufacturing of goods critical to america s economic security, 
@MichelleSteelCA,Republican,jay chen s record of standing with china speaks for itself,0,,,,a candidate for congress still refuses to denounce a declared chinese propaganda program that he helped bring into us schools jay chen s record of standing with china speaks for itself ca45, 
@NobleForOregon,Republican,thank you to everyone who spoke out against this bill and killed the 3 sales tax,0,,,,a big thank you to everyone who spoke out against this bill and killed the 3 sales tax the phone calls letters and emails made a difference we do have a voice n orpol or06 n, 
@PetersonForCA,Democrat,congratulations amar... thank you so much for stepping into the 2022 arena,2,,0,2,amarshergillca ninaturner brianmclain15 jkwhitmer3 cherylharris194 pioneeremily mitchellvice normansolomon alanminsky ray8fisher roots_action pdacalifornia congratulations amar n nthank you so much for stepping into the 2022 arena n nit would be such a shame to just let the corrupt-money win the 2022 elections igortregub, 
@PetersonForCA,Democrat,oligarchs and the shills for the monopoly firms are gathering their resources,0,,,0,ahunt4congress the oligarchs and the shills for the monopoly firms are gathering their resources to resist strong honest challengers in 2022 n nvoters can cast ballots against corrupt-money in 2022 n josephgeev drbillh mikehersh sunrisemvmt alexandrasiera, 
@PetersonForCA,Democrat,russian soldiers have laid down their weapons,0,,,0,_c_tt cityofberkeley lot s of russian soldiers have laid down their weapons n nthank you so much for helping to expand the reach on this message n nfolks love the image you shared amp take action by spreading the idea of securing weapons amp halting their fighting, 
@PetersonForCA,Democrat,yes but it helps the oligarchy amp the elite rip us off,0,2,,2,alexpadilla4ca jessep4congress yes but it helps the oligarchy amp the elite rip us off n n- a true insurrection would revolt against these filibusters amp organize to vote everyone of them out of office, 
@realNickDags,Republican,never will be congressman aaron parnas,2,,,,aaronparnas cawthornfornc chuckedwards4nc never will be congressman aaron parnas, 
@RepRoybalAllard,Democrat,loved ones can access free confidential support,2,,,,2 2 n nloved ones can access free confidential support by calling or texting 1-833-9-help4moms 1-833-943-5746 n nservices are available in over 60 languages n nmore information here n, 
@sharicedavids,Democrat,a powerful message from my friend jasonkander about his battle with ptsd,2,,,,a powerful message from my friend jasonkander about his battle with ptsd thank you for sharing your story n ncheck out his new book invisiblestorm - and support the fight against veteran suicide and homelessness, 
@texas_sandra,Republican,today is nationallawenforcementappreciationday here at sft we love our leos,2,0,0,,1 today is nationallawenforcementappreciationday here at sft we love our leos thank you for keeping us safe it has been a privilege defending you in media and in forums while you defend us i promise that you will always be my priority you know that is a promise, 
@TimRyan,Democrat,violence against women act became law... unlike jd vance who says parents should stay in violent marriages,0,,,,28 years ago the violence against women act became law n nin the senate i ll keep working to build on those landmark protections and pass legislation to keep women and families safe unlike jd vance who says parents should stay in violent marriages for the sake of their kids, 
@votejohngibbs,Republican,american families no matter the color of their skin should never have to choose between putting food on the table or gas,0,,,,american families no matter the color of their skin should never have to choose between putting food on the table or gas in the tank, 
@wildforcongress,Democrat,i promise you i will always always fight to protect your right to choose abortion is health care,0,,,,and i promise you i will always always fight to protect your right to choose abortion is health care and the government has no place in the doctor s office you deserve the dignity and freedom to make your own health care decisions n, 
@WillRollinsCA,Democrat,seeking safety is a human right we can work to secure the border and ensure migrants are treated humanely,0,,,,1 seeking safety is a human right we can work to secure the border and ensure migrants are treated humanely it s not either or we should follow our laws and insist that others do the same keeping our borders secure and also giving migrants due process worldrefugeeday, 
