395,Democrat,"marceelias christysmithca ahh the ability for your own team to create the maps to the disadvantage of all others - and john roberts wants to review amp approve n nkarma for the north carolina dems excluding a green party candidate unfairly",1
396,Democrat,"marco rubio believes it is a waste of time to codify same-sex marriage n nron desantis passed the don t say gay bill n nall of my gop opponents agree with them n nunlike them florida democrats support the lgbtq community",0
397,Democrat,"markgorman4ca06 no negotiations just leadership n nplease join me to call on putin kremlinrussia_e to order a ceasefire n nand for every russian soldier to secure their weapon and begin helping civilians n ntag everyone joebiden",0
398,Democrat,"marlinga is running to win and will leave no stone unturned to earn the support of the voters both in the primary and in the general election democrats know that a woman s right to choose protections for lake st clair and creating middle class jobs are all on the line",0
399,Democrat,"martinhopkins39 repmiketurner mariabartiromo sundayfutures if that tweet is real- it s time to take the treason loving traitor into custody",0
400,Democrat,"may is mentalhealthawarenessmonth i have spent a decade working across the aisle in the state senate to improve mental health services for children here in iowa i wrote about why it s so important",2
401,Republican,"mayraflores2022 patriciapoe3 all gun laws are infringements thank you for voting no",0
402,Republican,"megaredwave politicsrea it hasn t been a surprise since 2016 anyone who is still shocked over latinos moving toward trump and america first has been living with their head in the sand",0
403,Republican,"message me n n schoolboard boardofeducation local boe elections parentalrights crt mandates",0
404,Democrat,"michael_muscato we ll you know what to tell repgosar for me n ntell repdavid schweikert his trump endorsement doesn t intimate me or the voters in az01 n ntell captmarkkelly and gabby i send my love n nand if you see repkarenbass tell her i m rooting for her to become the next la mayor",0
405,Democrat,"michelleobama solution medicareforall codifies women s reproductive freedom n- - and includes contraceptives - with full expert physicians analysis to the best rex for each person n nwe persuaded 121 co-sponsors in 2021 nlet s elect 80 more in 2022 n nlet s pass the bill in 2023 berniesanders",0
406,Republican,"mid hudson news schmitt delivers books school supplies to honor n n n",2
407,Democrat,"mil gracias to the rgv hispanic chamber of commerce for hosting this really great meet and greet today n nearly vote starts monday do you already have your plans to vote vamos por quince n n tx15",2
408,Republican,"mlucoji mayraflores2022 bingo fulcrum",2
409,Democrat,"monday views from the 6 az06 let s go to work n upandadam2022",2
410,Republican,"month after month the biden administration breaks inflation records n nmonth after month they do nothing to solve the crisis",0
411,Republican,"msnbc he was attacked by an illegal immigrant drug addict because the policies of democrats like her allowed him to be running rampant around san francisco spare me the crocodile tears",0
412,Republican,"msnbc thereidout mcconnell and co are intentionally throwing away control of the senate so they can blame trump and america first and continue peddling their myth of electability",0
413,Democrat,"mt vernon it was good to see you this morning no better way to start the day ia02",2
414,Republican,"mwilkes45 lehne_j annmclanekuster nhgop meredithangwin thank you i follow meredith now and will try to get in touch with her soon",2
415,Republican,"my campaign continues to build momentum toward victory raising over 130k in the 1-month july report n nthe incredible support from residents across the hudson valley shows how well positioned we are to win back ny18 so we can restore checks amp balances to dc",0
416,Democrat,"my campaign relies entirely on individual donors if you wanna see a progressive victory like sheila4congress help contribute today",0
417,Democrat,"my colleagues in the senate have a duty and an obligation to put party politics aside and get the protecting our kids act to the president s desk without delay n nenough is enough n nour children cannot afford to wait n nget this done",0
418,Republican,"my former professor benstein1944 lays out an impressive analysis of inflation it s causes dangers and cures inflation n n",2
419,Democrat,"my heart goes out to the families of joseph rosenbaum and anthony huber",0
420,Democrat,"my heart goes out to the families of the 10 innocent lives lost today during the mass shooting in buffalo this is what hate breeds and we need to confront it with action",0
421,Republican,"my heart is broken for the victims of the tragedy in uvalde texas and the family members of those victims my thoughts and prayers are with the parents family members and uvalde community n",2
422,Democrat,"my interview last night in the 11pm news with abc11_wtvd on the nc congressional amp ncga maps which are radically gerrymandered by the gop gerrymandering is one more attack on our democracy to undermine voters faith in our government and political system ncpol",0
423,Republican,"my kiddos and i had a great time at west warwick s st patrick s day parade we got to meet so many nice people n ni hope everyone has a happy st patrick s day this week",2
424,Democrat,"my name is brandon mosely i m running for congress against a maga republican who voted to silence the will of the people and overturn the 2020 election results i need your help here can you like retweet and follow to grow this campaign thanks",0
425,Democrat,"my name is eddie geller although i am a comedian saving democracy is no joke that s why when i saw scott franklin vote to decertify the election i decided to run now i m running against matt gaetz s wingman can you help my amplify my message by retweeting and following",0
426,Democrat,"my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house",0
427,Democrat,"my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house",0
428,Democrat,"my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house",0
429,Democrat,"my name is nick antonucci and i am running for congress in ny01 i am a life-long public servant and proud union member who has dedicated his life to teaching and will fight for long island workers",0
430,Republican,"my opponent lauren underwood says i m an anti vaccine candidate n nwrong n ni m a pro medical choice candidate n ni supported my parents getting vaccinated however i chose not to get vaccinated because that is my choice and my right n nprogressives love control",0
431,Democrat,"my opponent repmmm trying really really hard to explain her no vote on the infrastructure law headline candidate seen promoting big projects she voted against financing yep n n",0
432,Democrat,"my opponent s lobbying firm worked on behalf of the saudi arabian government against the families of 9 11 victims n ni m cosponsoring a bill to pull military support from the saudis for cutting oil production i will never sell our community out to the highest bidder pa08",0
433,Republican,"my opponent s top issue has always been climate change--refers to himself as the climate communicator --but now as gas prices go back up amp inflation soars he s trying to say climate change is not his top priority voters are not buying it il17",0
434,Democrat,"my opponent was on the capitol grounds on jan 6th derrickvanorden traveled to using campaign funds and has refused to release who he met with and why he was there n nplease support my campaign to keep an insurrectionist out of congress",0
435,Republican,"my statement on biden s comments that there is no federal solution to the covid-19 pandemic and that covid gets solved at the state level",0
436,Republican,"my team and i have cleared all of my signs off of the right of ways that we could find if you happen to see any of my signs out there please dm me so we can get them pulled off of the streets",2
437,Republican,"nance014 nickadamsinusa rigopchairwoman rhodeislandgop startchangeri lancia4congress exactly nance014",2
438,Republican,"naper_design jojofromjerz gender dysphoria is a mental illness look it up",0
439,Democrat,"nataliefornc is the real deal folks so happy to see he running for re-election to the nc senate",2
440,Democrat,"nblackshoe votelandsman smeadows4oh2 tamieuscongress forswartz matthewdiemer drvenoch shontelmbrown emiliasykesoh mattkilboy i don t have 19 out of state billionaires backing me like repmiketurner- please donate",0
441,Democrat,"need a reason to chip in to our campaign here s 5 n n1 ohio will decide senate control n2 trump endorsed my opponent jd vance n3 the gop is pouring millions into this race n4 we re ahead in the polls by one point n5 vance doesn t give a damn about workers",0
442,Republican,"new ad as a coach i know what it s like to be a part of a team amp put my players first n ncareer politician teresafornm sold out nm for a new team dc lobbyists amp joebiden n nin congress i won t be beholden to radical special interests watch below",0
443,Democrat,"new documents reveal low billionaire tax rates breaking points with kr v",0
444,Republican,"new il district 14 congressional map for 2022 boundaries did change",2
445,Democrat,"new merch alert n teamvallejo is fighting every day for south texas n nsupport our pueblo powered movement today by visiting our brand-new webstore tx15",2
446,Democrat,"new redistricting maps show that my district is one of the only democratic pick up opportunities in the country n ni m going to win this race flip florida s 15th and keep the house blue",0
447,Democrat,"new tv ad n wants you to think that he s running against joe biden n ni ve got news for you zach you re not",0
448,Republican,"new zealand truckers shut down the streets near the parliament buildings n ncanada is taking back their freedoms n nnew zealand is taking back their freedoms n nunited states we re arguing in facebook groups about why the convoy is starting in coachella valley california",0
449,Republican,"newest update it s still 2 too high and you re going to lose the midterms voteredtosaveamerica2022",0
450,Republican,"news12 hudson valley authorities add extra patrols for catholic masses for mother s day",2
451,Republican,"nicoletta0602 nicole this is outrageous schools should be concentrating on the 3rs and leave such things to the parents if this is the road our public schools are going to go down then it s definitely time for school choice rigopchairwoman rhodeislandgop startchangeri lancia4congress",0
452,Republican,"nikkifried",2
453,Democrat,"nina n nyou have met your strongest partners in person n nwe are all around you we are nationwide n nyou can lift our movement amp single-handedly create a wave this election",2
454,Democrat,"no american should go broke paying medical bills n nwe must provide affordable health insurance to all of our citizens in north carolina",0
455,Democrat,"no matter how cynical you become it s never enough to keep up - - lilytomlin",2
456,Democrat,"no one should go into debt for needing medicine and medical care",0
457,Democrat,"north carolina s future is bright and north carolina s future is blue",0
458,Democrat,"not only are we fighting for a better future for the people of district texas 15 but this fight will determine the fate of our entire nation as we fight to strengthen our hold on the house majority together we will win big in november because we must vamos por quince",0
459,Republican,"notice how they re marketing the magical covid pill as the pfizer pill n nit s not referred to by its medical name paxlovid nno the articles about it news outlets and today in biden s speech all call it the pfizer pill n ndirect gov-corp promotion n nfollow the money",0
460,Democrat,"now kevin mccarthy saying he ll put paul gosar and mtg back on cmtes if gop takes back house in 2022 gop normalizes their hateful rhetoric and actions ndo we want this to continue or elect candidates like marcus4georgia and i who are fighting to defeat them amp stop this chaos",0
461,Republican,"nv04 chancefornv",2
462,Democrat,"nvdems list your winners",2
463,Democrat,"ny01 will be one of the best opportunities in the country to flip a battleground seat from red to blue n ni m a lifelong long islander social worker and legislator who s ready to bring much needed progress to my community after years of lee zeldin s failed leadership",0
464,Republican,"ny18 endorsement n nhonored to announce i have been endorsed by the nypost n n thank you to the post for your support n",2
465,Republican,"nypost no he rubber stamped a fraudulent election",0
466,Republican,"oann and portland",2
467,Democrat,"october afternoons are for knocking doors n nbe sure to grab a friend and join us this week by signing up here tx15",2
468,Republican,"of california fourth graders scored below proficient in reading according to the latest data that s a increase from 2019 n ncalifornia spends more money per student than almost every other state but results are still not there n nit s time for school choice vouchers",0
469,Republican,"officially filed let s get working on lowering gas prices getting food on the shelves amp ensuring safe neighborhoods cranstontocongress allinwithallan",0
470,Democrat,"on mayday we honor the workers fighting for dignity and justice n ni m thinking today of sbworkersunited and amazonlabor proof that workers can take on the biggest battles and win and of mineworkers on strike for over a year in alabama holding the line in the toughest times",0
471,Republican,"on team duarte all are welcome bisonforduarte",2
472,Republican,"on this day 78 years ago allied forces stormed the beaches of normandy and changed the course of wwii and of the world n ntake a moment today to remember the sacrifices so many of our service members made on that day and since then to protect freedom for all dday78 dday",2
473,Democrat,"on this international labor day can we as a nation agree we will not do business with those who seek to break our unions mayday2022 firebezos",0
474,Republican,"one first-time candidate derrick anderson a combat veteran and former green beret mounted an aggressive ground-game that numerous voters said impressed them n n i m a true political outsider anderson told a pavilion full of voters n n va07 n n",0
475,Democrat,"one important issue that is very important to me arizonans and all americans is healthcare has voted against every protection for us from newborns to seniors ni will fight for healthcare coverage for everyone nwho s with me nplease rt n",0
476,Republican,"one of my favorite things about living in virginia is we are surrounded by american history presidentsday is a good opportunity to take advantage of this n ngeorge washington mountvernon nthomas jefferson tjmonticello njames madison jmmontpelier njames monroe jmonroemuseum",2
477,Democrat,"one of my top priorities in congress will be to strengthen social security and medicare these are earned benefits that protect our seniors health and financial stability but republicans continue to attack them",0
478,Republican,"opportunity4usa davidjtrone thank you",2
479,Republican,"orange county voters are excited to win n nthere s still time to vote today click the link below to find your polling location n n",2
