id,party,tweet,alignment
36,Republican,"aoc this one came out of left field pivot pivot and pivot",0
37,Democrat,"apparently i have to speak with my mom about not writing trump with her lipstick on stop signs while canvassing for me",2
38,Democrat,"are we gullible n n- or are we smart enough to vote for the medicareforall candidate n n ca03",0
39,Republican,"are you listening to yourself lemme reword what you should be saying n n scotus is letting private citizens in texas sue to stop murdering babies n nif tx can ban murdering babies and save innocent lives ca can punish criminals and save lives",0
40,Democrat,"arizonascge",2
41,Democrat,"as a lifelong wisconsinite i am appalled by the actions of my opponent derrick van orden n nnot only did he attack our capitol on january 6th he also brags about sexually harassing women and is on probation for carrying a firearm at an airport n ni will defeat him this year",0
42,Democrat,"as a prosecutor i helped to found care house and then worked with their forensic teams in my courtroom as a judge click to see what a child abuse victim goes through as ch works w officials to apprehend amp charge the sexual offender who preyed on them",2
43,Democrat,"as a public official i will be dedicated to doing more to solve the gun violence epidemic in our country n nwe must do more we have to do more we will do more",0
44,Republican,"as a single mother who made the easy choice for life in a difficult situation my pro-life belief is personal n nit s for that reason that in 2019 when i heard ralph northam s horrifying and callous comments advocating for infanticide i made the decision to run for congress 1 3",0
45,Democrat,"as arizona s next member of congress i will work to lower costs for americans protect our human rights and fight to build an america that works for everyone",0
46,Republican,"as mayor of orland park i worked with the police department to keep our streets safe and our criminals behind bars in congress i ll support legislation that addresses crime nationwide",0
47,Republican,"as senator i ll work to pass legislation to guard our children against a covid vax mandate in virginia n nand i can get it done",0
48,Republican,"as the hateful leftist lynch mob enters its umpteenth month breathlessly pontificating january 6 let s remind them of what these same democrat officials enabled funded and bailed out for the better part of a year in the summer of love in 2020 spare me your sanctimony",0
49,Democrat,"as the only democratic woman amp mom running for congress in az i m proud to be running with the support of these amazing orgs thank you to emilyslist nationalnowpac electdemwomen votemamaus hertime2020 and rep kirkpatrick s pac moms_fedup for your support az06",0
50,Democrat,"ashley hinson just voted against n n lowering health insurance premiums and drug costs for seniors n increasing american energy independence n supporting iowa s biofuels industry n addressing the climate crisis n reducing the national deficit n nit s time to vote her out ia02",0
51,Democrat,"assemblyman peterson and i disagree on most things but he deserves credit for telling voters exactly what he believes and on this he s right it s amazing that even on russia ukraine tom kean won t take a stand who or what is he scared of",1
52,Republican,"at the time of the law enforcement award i was the chief criminal investigator as well as chief administrative officer which means i was part of a leadership team in bexar county that managed a 32 million budget so i understand the value of a dollar 2 4",2
53,Republican,"attending today s special noon service with my wife maryann to pray and show support for the people of ukraine rigopchairwoman rhodeislandgop ozsultan startchangeri lancia4congress",2
54,Republican,"aunt_tifa27 why do you keep sending me pictures of democrats",0
55,Democrat,"authorkimberley my name is delina disanto i m a nurse a small business owner and a mom i m running for congress because repgosar is no patriot he is a traitor and a cancer to our democracy arizona families need and deserve real leadership let s win",0
56,Democrat,"banning assault weapons is public health",0
57,Democrat,"barriers like don t ask don t tell discouraged me from joining the military despite my desire to serve my country after 9 11 so it s especially heartening to see this kind of support today pride",0
58,Republican,"based_masters desantisfan2024 don t worry just wait n n",2
59,Democrat,"be a man sentedcruz don t grovel don t talk about those who didn t go in the capitol talk about all the domestic terrorists who went in and killed maimed destroyed and defecated in the house you work ni m disgusted by all you lickspittles who are afraid of the former loser",0
60,Democrat,"beautiful fall saturday at the easton farmers market this morning i loved speaking with local vendors small business owners and members of the community and i even caught part of the hot pepper eating competition",2
61,Democrat,"benfeldman2000 which organization will put boots on the ground in wi",2
62,Republican,"best_of_luck_25 read the damn thread",2
63,Democrat,"between groceries bills insurance and more i know families balance a lot to meet their monthly budget i m working hard to make that easier",0
64,Republican,"biden inflation n ntoday s data",0
65,Republican,"biden is going to give us 6 gas by august disaster",0
66,Republican,"biden s first year n-highest crime rate in decades n-surrendering afghanistan n-arming taliban n-crippling debt amp inflation n-cdc amp fda discredited n-doj weaponized n-border crisis n-supply chain crisis n-energy dependence n nif your goal was to destroy america you d run this playbook",0
67,Republican,"biden s unrealized gains tax is outright absurd n nhow can you propose to tax money i do not even have yet n ndemocrats openly supporting theft isn t new look at san francisco but this is an entirely new level of crazy",0
68,Republican,"big kill-bot factory vibes",2
69,Democrat,"big loss to az thoughts are with her family",2
70,Democrat,"big news n nsenator alexpadilla4ca has endorsed our campaign to flip ca40 and defeat rep young kim n ncheck out all of our endorsements and join our campaign at",0
71,Republican,"big tech has shown its bias toward republicans by repeatedly suppressing conservative voices our democracy relies on the ability of citizens to speak freely and big tech puts that ability at risk in office i ll work to end big tech censorship and protect our freedom of speech",0
72,Republican,"both seancasten and voted to defund nthe police now they don t know nhow to explain to il-6 voters why ncrime is on the rise i ll tell you nwhy n1",0
73,Democrat,"busy primary day in mi07 with canvass launches across the new district haven t made it out to the polls yet don t worry you have until 8pm to make your voice heard",2
74,Republican,"by refusing to join in asking gavinnewsom to end his disastrous soft-on-crime early release program adamgrayca once shows he lacks the courage to put the needs of his constituents over the wants of his party n nwe won t settle for gray he ll just vote nancy s way n n ca13",0
75,Republican,"califcitizen i m not saying they ate you didn t read both tweets n ni said the left is lying",2
76,Republican,"california is mandating every child as young as 5 get vaccinated - whether parents agree or not n nas a father of 7 i won t stand by while the state takes away parents control over our kids n ncheck out my op-ed in dcexaminer - help me fight back ca49 n",0
77,Democrat,"can 15 more people donate in the next hour",2
78,Democrat,"can i get 683 people to make a donation to this tweet donate a few bucks now n n",2
79,Republican,"candidates forum in va07 let s go election2022",2
80,Democrat,"canvassing around az-06 until tuesday noro valley grande amp green valley vista",2
81,Democrat,"caring for each other working hard and fighting for our rights these are just a few american values we all share in tx15 and i will continue to fight for our community every single day si se puede",0
82,Republican,"carneymichael5 greg_price11 thank you",2
83,Democrat,"cawthorn ditched the 14th district because he thought it would be easier to win but he didn t expect me to come after him i m here to win and kick the insurrectionist out of congress let s go n n",0
84,Democrat,"cbs_herridge repmiketurner miketurneroh cbsnews if you think mike turner has no business being re-elected i don t have 19 billionaires from out of state funding me",0
85,Republican,"central new york is home to hard-working farmers who put food on our tables and help drive our local and state economy we can t afford to sit back and allow kathy hochul s farm laborers wage board s overtime decision devastate our communities",0
86,Republican,"certain warhawks in my own party are tempting me to violate reagan s 11th commandment we must dispense with the foolish rhetoric and approach this tragic situation in the ukraine with wisdom and very clear strategic objectives before being embroiled in another war copolitics",1
87,Republican,"charlescalenda closewithjenn the bill is scheduled for a committee vote tomorrow unfortunately i expect it to pass onto the senate floor with a chamber vote on tuesday",2
88,Republican,"charliecrist why aren t you talking about covid numbers in democrat run states",0
89,Democrat,"chasecross98 douggillin appstate_fb uncfootball thank you chase",2
