id,party,tweet,alignment
539,Republican,"ronnyjacksontx kbackous no more show trials and spots on hannity promising to get to the bottom of things n ninvestigation impeachment indictment n nget it done",0
540,Democrat,"rounding out a busy day of talking to voters with team hernandez i am so amazed by the way my team has showed up and the response we ve gotten from the community n nloved having special guests come help in these last two days",2
541,Democrat,"rt if you believe madison cawthorn should be issued a subpoena for his involvement in planning the jan 6 insurrection",0
542,Republican,"rt if you think the left s progressive policies are out of touch with the american people",0
543,Democrat,"rt so we can make it happen",2
544,Democrat,"ryan 48 who grew up in niles and experienced both the mahoning valley s painful manufacturing retrenchments and its current hopes to become the voltage valley is the superior choice for democrats n nthank you clevelanddotcom and theplaindealer",2
545,Democrat,"saenzmom betoorourke jay4txland judithzaffirini collierfortexas hays4ag rochellemgarza lukewarfordtx janet4texas thank you mal and live oak county dems you are our tx15 warriors so excited to see you all soon - mv",2
546,Republican,"sandrastevensen yes indeed am doing",2
547,Republican,"saturday is for doors thankful for my team of vols who help spread the word about our campaign americafirst",2
548,Democrat,"saturday starts the new year that means the democratic primary is a bit more than 8 months away and the general election 11 months i plan to win in august and send congressman bilirakis home for good in november but i need everyone s help re-tweet my posts to friends family",2
549,Republican,"saturdays are for doors so i m told n nproud of our grassroots team taking our message to the voters of ct05 n nmaybe we ll catch you in the hardware city on this beautiful saturday morning n ctpolitics",2
550,Republican,"saving the babies thank you for a beautiful event nvrighttolife",0
551,Democrat,"scott franklin and matt gaetz are best friends that s why i m running to defeat franklin and hold gaetz accountable can you chip in a few dollars today to continue this momentum",0
552,Democrat,"scott franklin and matt gaetz are best friends that s why i m running to defeat franklin and hold gaetz accountable can you chip in a few dollars today to continue this momentum",0
553,Republican,"seanmdav brianjperren mitch is a threat to america",0
554,Republican,"secure the border and impose the death penalty on those convicted of drug smuggling no more slaps on the wrist",0
555,Democrat,"see our interview with solar policy expert delchiarosolar of calssa_org n n",2
556,Republican,"senatordurbin it actually does senator",2
557,Democrat,"senschumer please explain why the dccc is spending 400k to elect a trumper in mi- but won t return calls of a d running in oh-10",0
558,Republican,"serious crimes have increased in just one year in santa clarita and local families are worried i ve been calling for gascon s resignation for months and i m pleased to see local government taking steps to stand up and protect our communities n",0
559,Republican,"sexyjedi secularoutpost state won t provide the raw data see my other tweet",2
560,Democrat,"she works for laura loomer makes sense now",2
561,Democrat,"shout out to republicans who love their public schools teachers education for their children n nwe support you ca03 ca01 ca05 ca06 ca07 ca02 ca04 ca09 maxsteinerca joshharder beraforcongress johngaramendi jaredhuffman mike_ca05 speakerpelosi dorismatsui",1
562,Republican,"show support for newberg schools by helping to fight for our kids if they succeed in newberg they will be coming for a school near you next",0
563,Republican,"show your support for jenniferruthgreen by proudly displaying a yard sign nrequest your yard sign at or stop by jrg headquarters at 250 w 61st ave in merrillville to grab your yard sign amp bumper sticker noffice hours mon 10a-8p 10a-5p in01",2
564,Democrat,"show your support for my campaign by requesting a yard sign n njust go to and select volunteer under the get involved tab to request your sign today n nthank you for showing your support as we work to ensure nepa continues to have a voice in washington",2
565,Democrat,"snowden thanks for beta-testing buddy n nwanna chat about the 2022election amp possible trends in primary voting n n",2
566,Republican,"so excited to open our brand new headquarters in buena park thanks to the hundreds who came out to support our campaign ca45 standwithsteel",2
567,Democrat,"so much energy love and support from the 15 800 people running amp walking in the 2022 mercycr efyrace n nwe must continue to work toward a cure for breast cancer and at the same time improve access to care and create affordable screening and treatment",0
568,Democrat,"so please tell me gtconway3d wouldn t this be a class d or c felony and investigated by the fbi nany other working-class american would be",0
569,Democrat,"so proud to be endorsed by votenewdems good governance real results onward ia01",2
570,Republican,"so saving an unborn baby is cruel but murdering an unborn baby is not okay karen go away staceyabrams",0
571,Democrat,"social security nmedicare nreproductive rights nmarriage equality nvoting rights ndemocracy nit s all on the ballot your vote is your voice and your voice matters vote",0
572,Republican,"socialists want to destroy your country stop them by volunteering today",0
573,Democrat,"solar_rights gavinnewsom the time for phone calls has passed time to volunteer and donate to 2022 candidates that will take action to curb inflation caused by monopoly utility firms n nsolar liberty for all",0
574,Democrat,"solar_rights look at the rooftop in the photo n nthe corrupt monopoly utility restrict the solar install to 20 of the area n ni am the only politician nationwide fighting to allow american citizens to install solar on the other 80 of the rooftop amp sell to neighbors at half price",0
575,Democrat,"solarpower4usa n nhave you seen the videos of solar professionals talking about eliminating the existing fines fees and restrictions on residential solar",0
576,Democrat,"some 60-70 veterans commit suicide in new jersey every year nationwide more young vets have taken their lives since 2001 than have fallen in our nation s wars better diagnosing and caring for vets suffering from mental illness or substance abuse is key to saving lives",0
577,Democrat,"something that i believe in that didn t make my campaign page term limits i believe the house and senate should be limited to 12 years that way stale people with stale ideas can make room for younger people with fresh ideas n",1
578,Democrat,"south texans deserve the best and i m ready to fight for our home and our families every single day n njoin our growing movement and donate today at n nlet s make history south texas",2
579,Republican,"speaking at merrimack gop with other candidates thanks for having me wonderful mexican food from los primos restaurant a gorgeous day in the granite state nhgop nhfrw jondipietronh lily4congress",2
