id,party,tweet,alignment
301,Republican,"inflation is now the highest it has been since the year i was born meanwhile the joebiden administration continues to ignore our stagnating economy",0
302,Republican,"inflation just surged the most in 31 years n nif the democrats actually care about inflation they must immediately drop their reconciliation bill which will make inflation even worse n nthey can choose workers or they can choose the radical left n",0
303,Democrat,"interested in joining our student ambassador program fill out this application",2
304,Democrat,"intersolarna david peterson is the only candidate nationwide who will eliminate 100 of the fines fees amp restrictions on residential-solar n njoin us n nsolar liberty now n n amp elect david peterson to make it happen",0
305,Democrat,"ionslr and we live in a no soliciting neighborhood fix this ionslr because it would suck to have vbpd arrest someone representing your company we are not interested stay away",2
306,Democrat,"iowans believe public dollars should fund public schools but rs in the state senate passed a bill that n n diverts 76m away from public schools where 93 of iowans are educated n undermines underfunded rural schools n requires 0 transparency from private schools that get funds",0
307,Republican,"is this agency serious what about the millions of people who have been brought here illegally the irs forgot to include their handlers in this statement 1 2 n",0
308,Republican,"it has been said that putin could invade ukraine any day now we are pulling out us embassy staff leadership smh",2
309,Democrat,"it is a major injustice the way our country chooses to distribute healthcare health should not be a luxury limited to the rich and well-off",0
310,Republican,"it is an honor to speak with congressman biggs",2
311,Republican,"it s 5 pm - two hours to go and ranger says go vote remember if you re in line at 7 pm when polls close you can still cast your ballot n winsomesears jasonmiyaresva and our local candidates need every single vote let s do this virginia",2
312,Democrat,"it s hard to imagine that i m having to say this - but people should be able to make their own medical decisions without the intervention of politicians and particularly extreme politicians",0
313,Democrat,"it s national voter registration day are you registered to vote n ncheck your voter registration status at and make a commitment to vote today",0
314,Republican,"it s no surprise that the american people see inflation as the biggest issue facing our country as prices keep surging with inflation at a 40 year high and up it gets harder and harder to afford the basic necessities americans need relief not higher inflation",0
315,Democrat,"it s official i qualified for the 2022 ballot for arizona s 6th congressional district whether you collected signatures like maryellenbeaurain or signed my petition like rachel and stan i couldn t have done this without you thank you together we will win",2
316,Democrat,"it s one thing to talk about tackling rising prices it s another to offer solutions that provide relief to families n nthese common sense proposals would address supply chain disruptions reduce tariffs and expand our own supply of goods here at home",0
317,Republican,"it s time to get to know your candidates much-needed change is coming so we ve teamed up for this event to share our ideas it s this sunday so please rt amp save this tweet",2
318,Republican,"it s time we send henry cuellar packing this november the people of tx28 are ready for a better way forward let s do this amp flip this seat red",0
319,Democrat,"it s times like this where the sr-71 would be a great asset to have satellites are nice but the blazing speed of the blackbird combined with the enhanced technology of today would be unstoppable in gather intel for ukraine",0
320,Democrat,"it was a pleasure to welcome secvilsack to my state senate district to talk about new programs that will grow rural economies increase sustainability and benefit farmers and businesses right here in iowa",0
321,Republican,"it was great to see everyone last night at the scott county fair the energy and momentum continues to be on our side as we work tirelessly to restore proper representation to minnesota s second district and provide a check and balance on biden s agenda mn02",0
322,Democrat,"it was particularly special to me to be invited not just to join the forum but to stay at the mccain family ranch some know my history with senator mccain amp i want to share more about why it means so much to participate in this weekend amp the importance of these gatherings",2
323,Democrat,"it won t be easy but i believe in our grassroots team in 365 days we re going to elect leaders across ohio who will fight like hell for working people n nwe do it by showing up and by outworking the other side because if i know one thing it s that you never bet against ohio",0
324,Republican,"it would be great to bring this beautiful production to nh i wonder if there are any venues to host the show people need to know there was a real china before communism a china with truth compassion and tolerance the opposite of communism shenyun",0
325,Republican,"ixodioxi rocketscientist nobody",2
326,Republican,"jackposobiec china has been at war with the world for years and the the world has been too busy trying to kiss their commie butts to realize we are losing badly n ntrump tried to warn us and look what they did to him",0
327,Republican,"jackposobiec smith-mundt modernization act of 2012",2
328,Democrat,"jan 6th insurrection palling with white supremacists creating 2nd amend sanctuary cities for militias and so much more now killing aoc and wanting to slay our potus it s not a joke he can t be in leadership in 2022 nhelp me clean out his office n",0
329,Republican,"janicedean foxweather florida can t take another hit praying for florida lanciaforri",2
330,Democrat,"jd vance is the last guy you d want playing on your team unless you re peter thiel",0
331,Democrat,"jd vance made millions profiting from globalization and says it was not necessarily bad trade deals that hollowed out our communities and sold ohio workers out wrong n ni ll work with anyone to fix our supply chains and bring manufacturing home let s make things in ohio again",0
332,Democrat,"jd vance openly supported rioters who attacked capitol police officers he even raised money to help them and held a fundraiser at one of their farms he s too dangerous for ohio n n ohsendebate",0
333,Democrat,"jenfl23 ro khanna has endorsed multiple anti-medicare for all candidates n n- and zero progressives",0
334,Republican,"jeremybhughes voteaprilbecker one of the biggest primary wins for cd3 in quite some time",2
335,Democrat,"jessicaemiranda ohdems love to see a majority of ohio voters cast ballots against the most corrupt candidate in each race nif the take bribes amp grant favors - - that s corrupt",0
336,Republican,"jim_jordan damnit jim call it what it is we are in a fight between good and evil those who openly support those who would victimize children and those who defend them",0
337,Republican,"joe biden depleted our strategic petroleum reserves to their lowest levels in 40-years b c he was desperate to try and help democrats in november n nthis irresponsible amp reckless decision has put america s national security at risk and set the us up for enormous economic pain",0
338,Republican,"joebiden believes 18 year olds are old enough to send to war but should be banned from owning ar-15s at home n nwhat do you think",0
339,Democrat,"join me as we honor our elders veterans teachers artists healthcare workers families and youth who will carry our languages cultures and traditions for the next seven generations nahm",2
340,Republican,"join me tomorrow on foxnews at 7 20am to discuss the latest in ukraine",2
341,Democrat,"join me tonight at franco s",2
342,Republican,"join the fight help me defeat liberal repmikelevin and fire speakerpelosi n n chip in 5 bucks today to flip ca49 conservative year end deadline n n",0
343,Republican,"join the hundreds of volunteers who have signed up and are ready to send battleprovenleadership to washington to represent us in indiana s first congressional district join at",2
344,Republican,"join us this week for phone calls from home and or knocking doors this saturday please let us know if you can help n",2
345,Republican,"jrmajewski nothing happens by accident you can destroy a nation without every firing a single shot",0
346,Democrat,"jstauf4316 i appreciate it i have to think about all the corrupted politicians because they will stand in the way of helping working class families",0
347,Republican,"juliecbarrett wagop smileyforwa agreed wsrp rnc does not they get more for losing and if they were to win funny thought right they would actually have to do something instead of always blaming the dems losing is the true incentive thus the problem we must return to the party of lincoln and reagan",1
348,Democrat,"just 10 days to election day and i m happy to be in franklin county n nover the next week i ll be visiting all five counties to talk about how we re movingkansasforward n nfollow along",2
349,Democrat,"just a friendly and urgent reminder that madison cawthorn is one of the members of congress who helped plan the insurrection it s time the doj holds cawthorn accountable",0
350,Republican,"just appeared live on rsbnetwork with brianglenntv at donald trump s saveamerica rally be sure to tune in to my appearances leading up to tonight s big event nh02 nhpolitics americafirst maga",0
351,Republican,"just because you slap a label on something doesn t mean that s what you re going to get and that s exactly what the democrats in congress are doing passing a bill called the inflation reduction act which isn t going to do anything of the kind oh01 n",0
352,Democrat,"just dropped off some dog and cat toys for chase amp rocket s pet supply and toy drive for the animals at azhumane chase amp rocket are the crisis response canines for scottsdale pd and the drive is in honor of their birthdays n scottsdalepd",2
353,Democrat,"just fyi if anybody is watching the candidate filing and hasn t seen my name my family is heading with me to raleigh monday to file can t wait",2
354,Republican,"just the kind of abuse a former inspector general can fix send yourgreenberet to takethehill",2
355,Democrat,"justinelliott kysen kentucky voters",2
356,Democrat,"kaiman4congress would you be willing to sacrifice nato-expansion to
357,Democrat,"kansas sent a clear message to our nation a majority of americans support the right to reproductive freedom n narizona is next",0
358,Republican,"katiedaviscourt mariners you are a progressive katie we don t need that we need people with a spine and morals you aren t that",0
359,Democrat,"katieporteroc how many new members of congress can we ad in 2022 to promote this agenda",2
